booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
100010,5,Customer_5,Corporate,2023-06-20,Mumbai,Silver,58,Emerald Lodge,Delhi,3,Mid-Range,100,2024-01-06,2024-01-21,2024-01-23,Standard,3,2,OTA,5846.11,5527.94,APPDEAL,29548.72,Credit Card,Completed,,
100011,6,Customer_6,Individual,2023-01-17,Jaipur,None,23,Emerald Haven,Mumbai,2,Budget,40,2024-04-21,2024-04-28,2024-04-29,Deluxe,1,1,OTA,3683.01,0.0,,3683.01,Debit Card,Completed,4.0,2024-05-03
100012,7,Customer_7,Individual,2022-01-19,Pune,None,46,Marigold Suites,Mumbai,2,Budget,100,2024-02-15,2024-03-01,2024-02-29,Deluxe,1,2,Corporate Portal,4441.51,0.0,NONE,8883.02,Debit Card,Cancelled,,
100013,7,Customer_7,Individual,2022-01-19,Pune,None,36,Jade Retreat,Udaipur,3,Budget,200,2024-03-20,2024-03-22,2024-03-23,Suite,1,1,Corporate Portal,5901.59,0.0,,5901.59,Debit Card,Completed,2.0,2024-03-24
100014,8,Customer_8,Individual,2023-02-07,Chennai,Gold,10,Banyan Heights,Mumbai,4,Mid-Range,150,2024-08-25,2024-10-24,2024-10-26,Deluxe,1,2,OTA,10888.26,4595.94,WELCOME,17180.58,Net Banking,Completed,,
100015,9,Customer_9,Individual,2023-06-05,Bangalore,Gold,18,Tusker Haven,Chennai,5,Mid-Range,80,2023-12-27,2024-02-05,2024-02-12,Deluxe,1,7,OTA,5209.42,0.0,,36465.94,Credit Card,Cancelled,,
100016,9,Customer_9,Individual,2023-06-05,Bangalore,Gold,46,Marigold Suites,Mumbai,2,Budget,100,2023-12-30,2024-01-01,2024-01-05,Standard,1,4,Corporate Portal,3349.28,0.0,,12057.41,Credit Card,Completed,,
100017,10,Customer_10,Individual,2022-09-25,Pune,Silver,22,Olive Courtyard,Delhi,3,Premium,150,2024-05-26,2024-05-28,2024-06-01,Deluxe,1,4,Travel Agent,14851.03,0.0,NONE,59404.12,Debit Card,Completed,,
100018,11,Customer_11,Individual,2022-10-27,Jaipur,None,37,Marigold Heights,Kochi,3,Mid-Range,200,2024-11-25,2024-12-10,2024-12-14,Standard,1,4,Travel Agent,3483.4,0.0,,13933.6,Debit Card,Cancelled,,
100019,12,Customer_12,Individual,2023-10-07,Pune,Silver,38,Indigo Residency,Chennai,4,Premium,80,2024-06-27,2024-06-29,2024-07-06,Deluxe,1,7,OTA,10386.78,0.0,,72707.46,Credit Card,Completed,3.0,2024-07-18
100020,12,Customer_12,Individual,2023-10-07,Pune,Silver,13,Marigold Lodge,Kochi,2,Mid-Range,60,2023-12-08,2024-03-07,2024-03-09,Standard,1,2,OTA,4078.1,0.0,,8156.2,Credit Card,Completed,,
100021,12,Customer_12,Individual,2023-10-07,Pune,Silver,1,The Grand Plaza,Delhi,5,Budget,60,2024-05-23,2024-05-30,2024-06-01,Standard,1,2,Corporate Portal,2662.02,0.0,,5324.04,Credit Card,Completed,,
100022,12,Customer_12,Individual,2023-10-07,Pune,Silver,43,Crimson Heights,Delhi,5,Budget,30,2024-12-29,2024-12-31,2025-01-01,Suite,1,1,Direct Website,5651.53,0.0,,5651.53,UPI,Completed,2.0,2025-01-12
100023,12,Customer_12,Individual,2023-10-07,Pune,Silver,24,Tusker Palace,Goa,2,Mid-Range,100,2024-08-22,2024-09-16,2024-09-19,Deluxe,1,3,Corporate Portal,8675.14,0.0,NONE,26025.42,Debit Card,Completed,4.0,2024-09-29
100024,12,Customer_12,Individual,2023-10-07,Pune,Silver,43,Crimson Heights,Delhi,5,Budget,30,2024-12-15,2024-12-17,2024-12-22,Standard,1,5,Travel Agent,2694.14,0.0,NONE,13470.7,Debit Card,Completed,5.0,2025-01-10
100025,12,Customer_12,Individual,2023-10-07,Pune,Silver,41,Mango Lodge,Chennai,3,Budget,100,2024-04-28,2024-05-13,2024-05-15,Deluxe,1,2,OTA,3247.56,0.0,NONE,6495.12,Debit Card,Completed,5.0,2024-05-27
100026,12,Customer_12,Individual,2023-10-07,Pune,Silver,43,Crimson Heights,Delhi,5,Budget,30,2024-03-04,2024-03-29,2024-03-31,Standard,1,2,OTA,2848.34,1509.12,SAVE10,4187.56,Net Banking,Completed,4.0,2024-04-13
100027,13,Customer_13,Individual,2023-07-05,Chennai,None,48,Tusker Lodge,Mumbai,5,Mid-Range,80,2024-05-10,2024-06-04,2024-06-06,Standard,1,2,OTA,5456.79,2242.86,APPDEAL,8670.72,Credit Card,Completed,,
100028,13,Customer_13,Individual,2023-07-05,Chennai,None,49,Marigold Residency,Udaipur,4,Mid-Range,120,2024-10-05,2024-10-07,2024-10-08,Suite,1,1,OTA,13607.13,2359.29,FEST15,11247.84,UPI,Cancelled,,
100029,13,Customer_13,Individual,2023-07-05,Chennai,None,9,Maple Stay,Chennai,4,Budget,60,2024-11-16,2024-12-11,2024-12-13,Standard,1,2,Travel Agent,2339.47,0.0,NONE,4678.94,Net Banking,Completed,,
100030,13,Customer_13,Individual,2023-07-05,Chennai,None,5,Hilltop Inn,Jaipur,4,Budget,120,2024-02-03,2024-03-14,2024-03-17,Deluxe,1,3,OTA,2865.91,0.0,,8597.73,Credit Card,Completed,,
100031,13,Customer_13,Individual,2023-07-05,Chennai,None,24,Tusker Palace,Goa,2,Mid-Range,100,2024-01-16,2024-01-18,2024-01-21,Standard,1,3,OTA,10181.57,0.0,,30544.71,UPI,Completed,5.0,2024-02-10
100032,14,Customer_14,Individual,2022-05-29,Delhi,Silver,21,Indigo Retreat,Manali,5,Luxury,100,2024-12-04,2024-12-29,2025-01-05,Standard,1,7,Direct Website,13695.49,0.0,,95868.43,UPI,Completed,,
100033,15,Customer_15,Corporate,2022-01-03,Delhi,None,11,Maple Manor,Pune,5,Premium,150,2024-01-26,2024-03-26,2024-03-28,Deluxe,3,2,Travel Agent,9686.4,0.0,,58118.4,UPI,Completed,8.0,2024-04-11
100034,15,Customer_15,Corporate,2022-01-03,Delhi,None,24,Tusker Palace,Goa,2,Mid-Range,100,2024-12-02,2024-12-04,2024-12-06,Deluxe,2,2,Corporate Portal,11201.32,6319.62,FEST15,38485.66,Net Banking,Completed,,
100035,15,Customer_15,Corporate,2022-01-03,Delhi,None,29,Saffron Courtyard,Udaipur,2,Budget,200,2024-07-06,2024-07-13,2024-07-18,Standard,1,5,OTA,2841.46,2247.2,SAVE10,11960.1,Debit Card,Completed,,
100036,15,Customer_15,Corporate,2022-01-03,Delhi,None,7,Royal Orchid,Manali,4,Premium,120,2024-08-19,2024-11-17,2024-11-21,Deluxe,2,4,OTA,10279.11,0.0,,82232.88,UPI,Completed,9.0,2024-12-10
100037,15,Customer_15,Corporate,2022-01-03,Delhi,None,29,Saffron Courtyard,Udaipur,2,Budget,200,2023-11-17,2024-01-16,2024-01-18,Standard,3,2,Travel Agent,3903.37,0.0,,23420.22,UPI,Completed,5.0,2024-01-20
100038,15,Customer_15,Corporate,2022-01-03,Delhi,None,17,Marigold Palace,Jaipur,4,Budget,60,2024-08-21,2024-09-15,2024-09-19,Deluxe,3,4,Corporate Portal,2919.34,6479.63,APPDEAL,28552.45,Net Banking,Completed,,
100039,16,Customer_16,Individual,2022-06-07,Goa,None,9,Maple Stay,Chennai,4,Budget,60,2024-11-05,2024-12-15,2024-12-22,Suite,1,7,Corporate Portal,3702.93,0.0,NONE,25920.51,Net Banking,No-Show,,
100040,17,Customer_17,Corporate,2022-04-20,Delhi,None,47,Crimson Residency,Chennai,4,Mid-Range,200,2024-06-13,2024-06-15,2024-06-16,Suite,1,1,Corporate Portal,9674.36,0.0,,9674.36,UPI,Completed,8.0,2024-07-06
100041,17,Customer_17,Corporate,2022-04-20,Delhi,None,28,Ivory Manor,Mumbai,2,Mid-Range,40,2024-05-15,2024-05-22,2024-05-25,Standard,2,3,Corporate Portal,6362.69,0.0,,38176.14,Net Banking,Completed,5.0,2024-06-02
100042,17,Customer_17,Corporate,2022-04-20,Delhi,None,2,The Grand Plaza,Udaipur,5,Luxury,200,2024-07-06,2024-07-08,2024-07-12,Standard,1,4,Travel Agent,17547.92,0.0,NONE,70191.68,Debit Card,Completed,,
100043,17,Customer_17,Corporate,2022-04-20,Delhi,None,38,Indigo Residency,Chennai,4,Premium,80,2024-07-06,2024-07-31,2024-08-02,Standard,1,2,Direct Website,6925.17,0.0,NONE,13850.34,Net Banking,Cancelled,,
100044,17,Customer_17,Corporate,2022-04-20,Delhi,None,50,Saffron Manor,Mumbai,4,Premium,100,2024-12-19,2024-12-26,2024-12-27,Deluxe,2,1,Corporate Portal,13222.12,3594.68,APPDEAL,22849.56,Net Banking,Completed,8.0,2025-01-12
100045,17,Customer_17,Corporate,2022-04-20,Delhi,None,26,Emerald Stay,Goa,5,Mid-Range,100,2024-10-21,2024-11-30,2024-12-01,Deluxe,1,1,Corporate Portal,9594.08,0.0,NONE,9594.08,Credit Card,Completed,,
100046,17,Customer_17,Corporate,2022-04-20,Delhi,None,21,Indigo Retreat,Manali,5,Luxury,100,2024-09-13,2024-09-20,2024-09-22,Suite,2,2,Direct Website,26665.68,0.0,,106662.72,Debit Card,Completed,,
100047,17,Customer_17,Corporate,2022-04-20,Delhi,None,40,Mango Retreat,Mumbai,4,Premium,120,2024-01-15,2024-01-22,2024-01-24,Deluxe,2,2,Travel Agent,16419.81,12188.36,APPDEAL,53490.88,UPI,Completed,,
100048,17,Customer_17,Corporate,2022-04-20,Delhi,None,51,Marigold Courtyard,Pune,2,Mid-Range,120,2024-01-22,2024-03-22,2024-03-23,Standard,2,1,Travel Agent,4258.49,0.0,,8516.98,UPI,Cancelled,,
100049,17,Customer_17,Corporate,2022-04-20,Delhi,None,13,Marigold Lodge,Kochi,2,Mid-Range,60,2024-03-16,2024-03-18,2024-03-23,Deluxe,2,5,OTA,6057.53,0.0,NONE,60575.3,Debit Card,Completed,7.0,2024-04-02
100050,18,Customer_18,Individual,2023-10-26,Kochi,Gold,30,Lotus Heights,Kochi,4,Luxury,200,2024-09-03,2024-09-28,2024-10-02,Deluxe,1,4,Corporate Portal,16407.66,0.0,,65630.64,Net Banking,Completed,4.0,2024-10-18
100051,18,Customer_18,Individual,2023-10-26,Kochi,Gold,36,Jade Retreat,Udaipur,3,Budget,200,2024-08-13,2024-09-22,2024-09-25,Standard,1,3,Travel Agent,3071.46,924.8,APPDEAL,8289.58,Debit Card,Completed,,
100052,19,Customer_19,Individual,2023-06-16,Udaipur,Silver,13,Marigold Lodge,Kochi,2,Mid-Range,60,2024-04-24,2024-04-26,2024-04-27,Deluxe,1,1,OTA,5769.48,0.0,NONE,5769.48,Credit Card,Completed,3.0,2024-05-06
100053,20,Customer_20,Individual,2023-08-23,Delhi,Gold,12,Sapphire Lodge,Kochi,5,Luxury,100,2024-10-21,2024-11-30,2024-12-02,Deluxe,1,2,Direct Website,17737.21,0.0,NONE,35474.42,Net Banking,Completed,3.0,2024-12-22
100054,21,Customer_21,Corporate,2023-05-22,Jaipur,Gold,13,Marigold Lodge,Kochi,2,Mid-Range,60,2024-10-30,2024-12-29,2024-12-30,Suite,1,1,Corporate Portal,6771.44,0.0,NONE,6771.44,Credit Card,Completed,,
100055,22,Customer_22,Individual,2022-11-29,Chennai,None,10,Banyan Heights,Mumbai,4,Mid-Range,150,2024-08-25,2024-08-27,2024-08-28,Deluxe,1,1,Travel Agent,8818.93,743.04,FEST15,8075.89,UPI,Completed,,
100056,23,Customer_23,Corporate,2023-11-04,Manali,None,56,Mango Suites,Chennai,5,Premium,60,2024-09-22,2024-09-24,2024-09-28,Standard,1,4,Corporate Portal,8711.98,6899.5,APPDEAL,27948.42,Net Banking,Completed,,
100057,23,Customer_23,Corporate,2023-11-04,Manali,None,18,Tusker Haven,Chennai,5,Mid-Range,80,2024-02-16,2024-05-16,2024-05-20,Standard,1,4,Corporate Portal,4034.04,0.0,,16136.16,Credit Card,Completed,,
100058,23,Customer_23,Corporate,2023-11-04,Manali,None,33,Saffron Palace,Bangalore,2,Mid-Range,30,2024-06-02,2024-06-27,2024-06-30,Deluxe,3,3,OTA,7243.85,9760.97,SAVE10,55433.68,UPI,Completed,6.0,2024-07-16
100059,23,Customer_23,Corporate,2023-11-04,Manali,None,34,Indigo Palace,Kochi,2,Budget,80,2024-11-09,2024-11-24,2024-11-29,Standard,1,5,OTA,1982.65,0.0,,9913.25,Debit Card,Completed,9.0,2024-12-15
100060,23,Customer_23,Corporate,2023-11-04,Manali,None,25,Pearl Retreat,Mumbai,4,Premium,200,2024-03-28,2024-04-04,2024-04-05,Standard,1,1,Corporate Portal,9212.16,1412.24,SAVE10,7799.92,Credit Card,Completed,,
100061,23,Customer_23,Corporate,2023-11-04,Manali,None,49,Marigold Residency,Udaipur,4,Mid-Range,120,2024-04-02,2024-04-17,2024-04-18,Deluxe,1,1,OTA,8013.14,0.0,NONE,8013.14,Net Banking,No-Show,,
100062,24,Customer_24,Individual,2023-04-20,Udaipur,Gold,53,Crimson Suites,Bangalore,4,Mid-Range,100,2024-04-12,2024-07-11,2024-07-16,Suite,1,5,OTA,8758.41,0.0,,43792.05,Credit Card,Completed,,
100063,25,Customer_25,Individual,2023-08-28,Bangalore,None,21,Indigo Retreat,Manali,5,Luxury,100,2024-01-13,2024-01-28,2024-01-31,Standard,1,3,Corporate Portal,15003.51,0.0,,45010.53,Net Banking,Completed,,
100064,26,Customer_26,Individual,2022-05-11,Udaipur,Gold,23,Emerald Haven,Mumbai,2,Budget,40,2024-04-15,2024-04-30,2024-05-01,Deluxe,1,1,Travel Agent,3644.0,0.0,NONE,3644.0,Debit Card,Completed,,
100065,26,Customer_26,Individual,2022-05-11,Udaipur,Gold,6,Hilltop Inn,Delhi,5,Premium,60,2024-05-06,2024-05-21,2024-05-23,Standard,1,2,OTA,10407.38,0.0,NONE,20814.76,Credit Card,Completed,5.0,2024-05-27
100066,27,Customer_27,Individual,2023-04-01,Chennai,Silver,20,Jade Courtyard,Kochi,2,Mid-Range,100,2024-10-24,2024-10-31,2024-11-02,Standard,1,2,OTA,4924.92,0.0,,9849.84,Debit Card,Completed,5.0,2024-11-19
100067,28,Customer_28,Individual,2022-05-27,Delhi,None,53,Crimson Suites,Bangalore,4,Mid-Range,100,2024-02-09,2024-02-16,2024-02-18,Standard,1,2,OTA,4343.49,1363.51,FEST15,7323.47,Credit Card,Cancelled,,
100068,29,Customer_29,Individual,2023-10-11,Mumbai,Silver,37,Marigold Heights,Kochi,3,Mid-Range,200,2024-04-02,2024-04-04,2024-04-06,Deluxe,1,2,OTA,5135.55,0.0,NONE,10271.1,UPI,Completed,5.0,2024-04-12
100069,29,Customer_29,Individual,2023-10-11,Mumbai,Silver,35,Sapphire Retreat,Bangalore,3,Mid-Range,150,2024-01-02,2024-01-09,2024-01-12,Suite,1,3,Direct Website,8972.91,0.0,NONE,26918.73,Debit Card,Completed,,
100070,30,Customer_30,Individual,2023-02-24,Kochi,Gold,28,Ivory Manor,Mumbai,2,Mid-Range,40,2024-07-23,2024-08-17,2024-08-19,Standard,1,2,OTA,5998.11,0.0,NONE,11996.22,UPI,Completed,,
100071,31,Customer_31,Corporate,2023-11-15,Chennai,None,31,Indigo Lodge,Pune,3,Budget,80,2024-05-03,2024-07-02,2024-07-07,Standard,1,5,Corporate Portal,1775.52,1528.14,FEST15,7349.46,Credit Card,Completed,4.0,2024-07-16
100072,31,Customer_31,Corporate,2023-11-15,Chennai,None,35,Sapphire Retreat,Bangalore,3,Mid-Range,150,2024-06-21,2024-08-20,2024-08-23,Deluxe,2,3,Travel Agent,7207.44,0.0,,43244.64,Credit Card,Completed,,
100073,31,Customer_31,Corporate,2023-11-15,Chennai,None,50,Saffron Manor,Mumbai,4,Premium,100,2024-11-05,2024-11-30,2024-12-02,Standard,1,2,Corporate Portal,12639.92,0.0,NONE,25279.84,Debit Card,Cancelled,,
100074,32,Customer_32,Individual,2022-12-05,Manali,Silver,3,Sea Breeze Resort,Chennai,5,Luxury,60,2024-07-03,2024-07-10,2024-07-12,Standard,1,2,Corporate Portal,12188.32,0.0,,24376.64,UPI,Completed,3.0,2024-07-26
100075,33,Customer_33,Corporate,2023-07-27,Bangalore,None,27,Velvet Retreat,Pune,4,Mid-Range,150,2024-01-26,2024-01-28,2024-02-04,Standard,2,7,Corporate Portal,4163.77,0.0,NONE,58292.78,Net Banking,Completed,10.0,2024-02-07
100076,34,Customer_34,Corporate,2023-03-01,Kochi,Gold,12,Sapphire Lodge,Kochi,5,Luxury,100,2024-05-09,2024-05-24,2024-05-26,Standard,3,2,Corporate Portal,11752.16,0.0,NONE,70512.96,Debit Card,Completed,8.0,2024-05-29
100077,34,Customer_34,Corporate,2023-03-01,Kochi,Gold,21,Indigo Retreat,Manali,5,Luxury,100,2024-12-09,2024-12-24,2024-12-27,Standard,1,3,Travel Agent,14974.55,0.0,NONE,44923.65,Debit Card,Completed,,
100078,35,Customer_35,Individual,2022-01-13,Goa,Silver,23,Emerald Haven,Mumbai,2,Budget,40,2024-07-12,2024-07-19,2024-07-22,Deluxe,1,3,Corporate Portal,3801.42,1237.72,SAVE10,10166.54,UPI,Completed,2.0,2024-07-24
100079,36,Customer_36,Individual,2022-10-03,Goa,Gold,50,Saffron Manor,Mumbai,4,Premium,100,2024-10-12,2024-10-14,2024-10-17,Deluxe,1,3,Corporate Portal,18839.93,0.0,,56519.79,Net Banking,Completed,,
100080,36,Customer_36,Individual,2022-10-03,Goa,Gold,24,Tusker Palace,Goa,2,Mid-Range,100,2024-10-13,2024-10-20,2024-10-22,Deluxe,1,2,Corporate Portal,11906.68,0.0,NONE,23813.36,Net Banking,Completed,,
100081,37,Customer_37,Individual,2023-09-30,Delhi,Silver,16,Mango Manor,Jaipur,5,Premium,150,2024-02-07,2024-02-09,2024-02-12,Standard,1,3,OTA,7562.86,0.0,,22688.58,Debit Card,No-Show,,
100082,38,Customer_38,Group,2022-01-12,Bangalore,None,37,Marigold Heights,Kochi,3,Mid-Range,200,2024-04-23,2024-05-18,2024-05-21,Suite,4,3,Travel Agent,8038.32,0.0,NONE,96459.84,Credit Card,Completed,,
100083,39,Customer_39,Individual,2023-04-20,Bangalore,Silver,14,Saffron Stay,Delhi,5,Mid-Range,200,2024-06-17,2024-07-27,2024-08-01,Standard,1,5,Corporate Portal,4990.79,0.0,NONE,24953.95,Net Banking,Completed,,
100084,40,Customer_40,Corporate,2023-03-04,Pune,Silver,35,Sapphire Retreat,Bangalore,3,Mid-Range,150,2024-08-01,2024-09-10,2024-09-14,Deluxe,1,4,Corporate Portal,7005.16,0.0,NONE,28020.64,Debit Card,Cancelled,,
100085,41,Customer_41,Group,2022-10-05,Mumbai,None,36,Jade Retreat,Udaipur,3,Budget,200,2023-11-16,2024-01-15,2024-01-16,Deluxe,3,1,Corporate Portal,5232.38,0.0,NONE,15697.14,Net Banking,Completed,3.0,2024-02-04
100086,42,Customer_42,Group,2022-08-25,Kochi,Silver,26,Emerald Stay,Goa,5,Mid-Range,100,2024-11-15,2024-11-17,2024-11-20,Standard,2,3,Direct Website,6644.68,6844.06,FEST15,33024.02,UPI,Cancelled,,
100087,42,Customer_42,Group,2022-08-25,Kochi,Silver,35,Sapphire Retreat,Bangalore,3,Mid-Range,150,2024-05-26,2024-06-10,2024-06-12,Standard,2,2,OTA,3835.51,0.0,,15342.04,Credit Card,Cancelled,,
100088,43,Customer_43,Individual,2022-12-22,Kochi,None,57,Azure Heights,Chennai,5,Mid-Range,120,2024-09-08,2024-09-23,2024-09-30,Standard,1,7,OTA,4453.81,0.0,,31176.67,UPI,Completed,,
100089,44,Customer_44,Individual,2022-02-07,Bangalore,None,13,Marigold Lodge,Kochi,2,Mid-Range,60,2024-02-01,2024-03-12,2024-03-16,Deluxe,1,4,OTA,5582.55,0.0,,22330.2,UPI,Completed,,
100090,44,Customer_44,Individual,2022-02-07,Bangalore,None,39,Coral Suites,Delhi,5,Mid-Range,150,2024-02-25,2024-02-27,2024-02-26,Standard,1,3,Corporate Portal,5106.21,991.74,APPDEAL,14326.89,Net Banking,Completed,,
100091,44,Customer_44,Individual,2022-02-07,Bangalore,None,6,Hilltop Inn,Delhi,5,Premium,60,2024-05-02,2024-05-17,2024-05-24,Deluxe,1,7,OTA,13664.71,0.0,NONE,95652.97,UPI,Completed,,
100092,44,Customer_44,Individual,2022-02-07,Bangalore,None,9,Maple Stay,Chennai,4,Budget,60,2024-08-04,2024-08-29,2024-08-31,Deluxe,1,2,OTA,2654.9,1269.33,APPDEAL,4040.47,Debit Card,Completed,,
100093,44,Customer_44,Individual,2022-02-07,Bangalore,None,16,Mango Manor,Jaipur,5,Premium,150,2024-11-18,2024-12-03,2024-12-06,Standard,1,3,OTA,7793.94,4295.09,FEST15,19086.73,Debit Card,Completed,,
100094,45,Customer_45,Corporate,2022-09-17,Kochi,None,13,Marigold Lodge,Kochi,2,Mid-Range,60,2024-05-08,2024-08-06,2024-08-07,Standard,1,1,Direct Website,3692.84,0.0,NONE,3692.84,Debit Card,Completed,7.0,2024-08-12
100095,45,Customer_45,Corporate,2022-09-17,Kochi,None,22,Olive Courtyard,Delhi,3,Premium,150,2024-05-26,2024-06-02,2024-06-06,Standard,2,4,OTA,8727.22,0.0,,69817.76,Credit Card,Cancelled,,
100096,45,Customer_45,Corporate,2022-09-17,Kochi,None,47,Crimson Residency,Chennai,4,Mid-Range,200,2024-04-19,2024-05-04,2024-05-06,Standard,2,2,OTA,3677.72,0.0,,14710.88,UPI,Completed,,
100097,46,Customer_46,Individual,2023-02-14,Pune,None,18,Tusker Haven,Chennai,5,Mid-Range,80,2024-06-12,2024-06-14,2024-06-18,Standard,1,4,Direct Website,4891.81,2114.56,APPDEAL,17452.68,Net Banking,Completed,,
100098,47,Customer_47,Corporate,2022-03-08,Chennai,Silver,43,Crimson Heights,Delhi,5,Budget,30,2023-12-18,2024-01-02,2024-01-07,Standard,2,5,Direct Website,2697.97,0.0,,26979.7,Net Banking,Completed,5.0,2024-01-13
100099,48,Customer_48,Group,2022-11-02,Pune,None,51,Marigold Courtyard,Pune,2,Mid-Range,120,2024-07-27,2024-07-29,2024-07-30,Deluxe,3,1,Travel Agent,6411.81,0.0,,19235.43,Net Banking,Completed,,
100100,48,Customer_48,Group,2022-11-02,Pune,None,47,Crimson Residency,Chennai,4,Mid-Range,200,2023-11-07,2024-02-05,2024-02-10,Suite,2,5,OTA,7591.5,0.0,,75915.0,Net Banking,Completed,,
100101,49,Customer_49,Individual,2023-06-19,Kochi,None,58,Emerald Lodge,Delhi,3,Mid-Range,100,2024-09-24,2024-09-26,2024-09-28,Deluxe,1,2,Corporate Portal,8327.21,0.0,NONE,16654.42,Debit Card,Completed,,
100102,50,Customer_50,Individual,2022-07-05,Chennai,Gold,44,Crimson Stay,Udaipur,4,Mid-Range,40,2024-06-28,2024-06-30,2024-07-01,Standard,1,1,Travel Agent,5621.12,0.0,NONE,5621.12,Net Banking,Completed,,
100103,51,Customer_51,Group,2022-09-21,Chennai,Silver,23,Emerald Haven,Mumbai,2,Budget,40,2024-06-29,2024-07-01,2024-07-04,Standard,5,3,OTA,2973.66,5486.8,FEST15,39118.1,UPI,Cancelled,,
100104,52,Customer_52,Group,2022-04-19,Goa,None,13,Marigold Lodge,Kochi,2,Mid-Range,60,2024-04-08,2024-04-23,2024-04-26,Deluxe,3,3,Corporate Portal,6062.16,5564.1,SAVE10,48995.34,Debit Card,Completed,4.0,2024-05-01
100105,53,Customer_53,Individual,2023-03-16,Chennai,None,36,Jade Retreat,Udaipur,3,Budget,200,2024-10-30,2024-11-24,2024-11-28,Deluxe,1,4,OTA,4098.88,3784.41,APPDEAL,12611.11,Debit Card,Completed,3.0,2024-11-29
100106,54,Customer_54,Corporate,2022-10-05,Kochi,None,52,Ivory Stay,Mumbai,2,Budget,40,2024-01-18,2024-04-17,2024-04-18,Suite,3,1,OTA,5260.16,4363.13,SAVE10,11417.35,Debit Card,Completed,,
100107,55,Customer_55,Individual,2022-11-30,Manali,Silver,36,Jade Retreat,Udaipur,3,Budget,200,2024-02-02,2024-02-09,2024-02-12,Standard,1,3,OTA,2648.21,957.52,WELCOME,6987.11,Credit Card,Cancelled,,
100108,55,Customer_55,Individual,2022-11-30,Manali,Silver,20,Jade Courtyard,Kochi,2,Mid-Range,100,2023-12-27,2024-01-21,2024-01-22,Standard,1,1,Direct Website,3682.36,0.0,,3682.36,Net Banking,Completed,2.0,2024-02-03
100109,56,Customer_56,Individual,2022-07-13,Chennai,Silver,50,Saffron Manor,Mumbai,4,Premium,100,2024-04-04,2024-04-19,2024-04-20,Deluxe,1,1,Travel Agent,14901.02,0.0,NONE,14901.02,Credit Card,Completed,,
